D=0.0 mm^2/w,D=0.1 mm^2/w,D=0.2 mm^2/w,D=0.3 mm^2/w,D=0.4 mm^2/w,D=0.5 mm^2/w,D=0.6 mm^2/w,D=0.7 mm^2/w,D=0.8 mm^2/w,D=0.9 mm^2/w,D=1.0 mm^2/w
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0002420249034649,0.0002420249034649,0.0002420249034649,0.0002420249034649,0.0002420249034649,0.0002420249034649,0.0002420249034649,0.0002420249034649,0.0002420249034649,0.0002420249034649,0.00024202490346496002
0.0018104647208128,0.0018104647208128,0.0018104647208128,0.0018104647208128,0.0018104647208128,0.0018104647208128,0.0018104647208128,0.0018104647208128,0.0018104647208128,0.0018104647208128,0.001810464720812858
0.0046753366161602,0.0046753365846047,0.0046753365530492,0.0046753365214937,0.0046753364899382,0.0046753364583827,0.0046753364268273,0.0046753363952718,0.0046753363637163,0.0046753363321608,0.004675336300605364
0.0087830543195054,0.0087830539049639,0.0087830534891539,0.0087830530706257,0.0087830526479297,0.0087830522196165,0.0087830517842362,0.0087830513403393,0.0087830508864763,0.0087830504211975,0.008783049943053275
0.0140791841581263,0.0140791821330729,0.0140791801018256,0.0140791780558342,0.014079175986583,0.0140791738855914,0.0140791717444133,0.0140791695546376,0.0140791673078878,0.0140791649958223,0.01407916261013428
0.020512234943244,0.0205122284312081,0.0205122219023982,0.0205122153273777,0.020512208676949,0.0205122019221532,0.0205121950342685,0.0205121879848102,0.0205121807455296,0.0205121732884133,0.020512165585682352
0.0280342593054778,0.0280342428335972,0.0280342263296869,0.0280342097164874,0.0280341929176787,0.0280341758578747,0.0280341584626169,0.0280341406583685,0.0280341223725091,0.028034103533328,0.028034084070019182
0.0366007129237339,0.0366006773337393,0.0366006416991816,0.0366006058488689,0.0366005696143794,0.0366005328300355,0.0366004953328781,0.0366004569626404,0.0366004175617224,0.0366003769751654,0.036600335050627
0.0461701409632003,0.0461700722067634,0.0461700034138964,0.0461699342472266,0.0461698643761907,0.0461697934769496,0.0461697212323034,0.0461696473316079,0.046169571470691,0.0461694933517709,0.046169412683374024
0.0567038487793578,0.0567037266182433,0.0567036044826708,0.0567034817628409,0.0567033578636882,0.0567032322046507,0.0567031042194423,0.0567029733558273,0.0567028390753984,0.0567027008533566,0.0567025581782943
0.0681656010545298,0.0681653976817096,0.0681651945037879,0.0681649904895768,0.0681647846368805,0.0681645759719523,0.0681643635489595,0.0681641464494558,0.0681639237818623,0.0681636946809549,0.06816345830736095
0.0805213589129128,0.0805210375074323,0.0805207166530354,0.0805203946959197,0.0805200700352729,0.0805197411221172,0.0805194064581745,0.0805190645947499,0.0805187141316366,0.0805183537160392,0.08051798204151615
