D=0.0 mm^2/w,D=0.1 mm^2/w,D=0.2 mm^2/w,D=0.3 mm^2/w,D=0.4 mm^2/w,D=0.5 mm^2/w,D=0.6 mm^2/w,D=0.7 mm^2/w,D=0.8 mm^2/w,D=0.9 mm^2/w
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0002420249034649,0.0002420249034649,0.0002420249034649,0.0002420249034649,0.0002420249034649,0.0002420249034649,0.0002420249034649,0.0002420249034649,0.0002420249034649,0.00024202490346496002
0.0018104647208128,0.0018104647208128,0.0018104647208128,0.0018104647208128,0.0018104647208128,0.0018104647208128,0.0018104647208128,0.0018104647208128,0.0018104647208128,0.001810464720812858
0.0046753366161602,0.0046753366161602,0.0046753366161602,0.0046753366161602,0.0046753366161602,0.0046753366161602,0.0046753366161602,0.0046753366161602,0.0046753366161602,0.004675336616160212
0.0087830543195054,0.0087830543192638,0.0087830543175726,0.0087830543129821,0.0087830543040429,0.0087830542893052,0.0087830542673194,0.008783054236636,0.0087830541958053,0.008783054143377812
0.0140791841581263,0.0140791841566984,0.0140791841467169,0.0140791841196652,0.0140791840670675,0.0140791839804885,0.0140791838515332,0.0140791836718475,0.0140791834331177,0.014079183127070787
0.020512234943244,0.0205122349383208,0.020512234903952,0.0205122348109473,0.0205122346303944,0.0205122343336581,0.0205122338923788,0.0205122332784719,0.0205122324641264,0.02051223142180452
0.0280342593054778,0.0280342592925433,0.0280342592023686,0.0280342589587173,0.0280342584864412,0.0280342577114722,0.0280342565608145,0.0280342549625365,0.0280342528457633,0.028034250140668703
0.0366007129237339,0.0366007128950581,0.0366007126954091,0.0366007121567723,0.0366007111143284,0.036600709406419,0.0366007068745117,0.0366007033631656,0.0366006987199974,0.036600692795647406
0.0461701409632003,0.0461701409066837,0.0461701405137282,0.0461701394551604,0.0461701374096289,0.0461701340634901,0.0461701291106962,0.046170122252684,0.0461701131982639,0.04617010166351167
0.0567038487793578,0.056703848677242,0.0567038479681932,0.0567038460609819,0.0567038423812283,0.0567038363710973,0.0567038274889964,0.056703815209279,0.0567037990219501,0.05670377843237771
0.0681656010545298,0.0681656008819883,0.0681655996855395,0.0681655964721349,0.0681655902817285,0.0681655801865593,0.0681655652904464,0.0681655447280953,0.0681655176644164,0.06816548329385456
0.0805213589129128,0.0805213586365331,0.0805213567226099,0.0805213515899146,0.0805213417172467,0.0805213256419132,0.0805213019582397,0.080521269316111,0.0805212264195401,0.08052117202526778
0.0937390536555335,0.0937390532317041,0.0937390503006209,0.0937390424518816,0.0937390273779795,0.0937390028713296,0.0937389668213651,0.0937389172117008,0.0937388521173635,0.09373876970208742
0.1077883926760331,0.1077883920492444,0.1077883877203436,0.10778837614587,0.107788353950356,0.1077883179208743,0.1077882650017285,0.1077881922892858,0.1077880970269475,0.10778797660025477
