D=0.0 mm/w,D=0.1 mm/w,D=0.2 mm/w,D=0.3 mm/w,D=0.4 mm/w,D=0.5 mm/w,D=0.6 mm/w,D=0.7 mm/w,D=0.8 mm/w,D=0.9 mm/w
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01639792,0.01639792,0.01639792,0.01639792,0.01639792,0.01639792,0.01639792,0.01639792,0.01639792,0.01639792
0.1062856850832263,0.1062856850832263,0.1062856850832263,0.1062856850832263,0.1062856850832263,0.1062856850832263,0.1062856850832263,0.1062856850832263,0.1062856850832263,0.10628568508322632
0.1942396818360826,0.1942396818360826,0.1942396818360826,0.1942396818360826,0.1942396818360826,0.1942396818360826,0.1942396818360826,0.1942396818360826,0.1942396818360826,0.19423968183608267
0.2786435128878679,0.2786435128715021,0.2786435127569417,0.278643512445992,0.2786435118404585,0.2786435108421464,0.2786435093528612,0.2786435072744082,0.2786435045085927,0.27864350095722024
0.3594227866418487,0.3594227865615034,0.3594227860000023,0.3594227844787078,0.3594227815217292,0.3594227766559228,0.3594227694108923,0.359422759318988,0.3594227459153075,0.3594227287376955
0.4367617535388419,0.4367617533021714,0.4367617516508662,0.4367617471850788,0.4367617385210304,0.4367617242909423,0.4367617031429676,0.4367616737411223,0.4367616347652169,0.4367615849107877
0.5108872546505371,0.510887254108297,0.5108872503311134,0.5108872401346954,0.5108872203895845,0.5108871880206842,0.5108871400067969,0.5108870733801576,0.5108869852259724,0.510886872681958
0.5820182140382077,0.5820182129733313,0.5820182055675724,0.5820181856122523,0.5820181470412461,0.5820180839291602,0.5820179904895251,0.5820178610729999,0.5820176901655926,0.582017472386893
0.6503536988642915,0.6503536969821365,0.6503536839138074,0.6503536487642694,0.6503535809512032,0.6503534701996805,0.650353306536902,0.6503530802869943,0.6503527820658687,0.6503524027761391
0.7160716511107604,0.7160716480304606,0.716071626677776,0.71607156935024,0.7160714589551639,0.7160712789966732,0.7160710135629442,0.7160706473136343,0.7160701654675085,0.7160695537902572
0.7793306447180629,0.7793306399649192,0.7793306070694763,0.7793305189121181,0.7793303494631858,0.7793300737552015,0.7793296678556249,0.7793291088401304,0.7793283747664015,0.7793274446484332
