H_i,C_i,M_i,N_i,D_i,R_i
2785.4942503663324,256.77256952152226,23515.411219903817,87.70151660343717,1.1220877868065982,11.17639560975623
1947.2105854648696,376.4575771796479,14109.120744437694,35.89343323499348,18.672033279255142,45.43453348575137
2071.4255535527927,297.03984553465114,15536.91315136715,87.13988334012538,5.21607508396567,7.64404157590895
458.5840405931543,27.965591081711,85901.30238977537,37.81142966114218,47.55885603569589,14.629714303161933
3680.6712255712223,324.8845839166091,28712.477873633445,15.259821318576568,55.17393047539224,29.56624820603119
1025.7020869398327,236.9683308047429,39480.97455760075,23.79556265899645,72.1100513552457,4.094385985757853
543.2083751731958,196.8182328780321,49668.761814592384,30.970410676004413,26.213017533797604,42.81657179019799
893.8795066702562,226.6649936068482,68116.06826448884,39.348095479684304,34.72971613788172,25.92218838243398
1535.725070581584,426.1839466177141,47856.70991178779,37.221421449587474,42.29550585275517,20.483072697657356
3549.4122781886263,287.9740141612532,39934.01773719076,4.180647960904419,81.50956037859444,14.309791660501133
4153.727296467348,2.8219183923935978,46108.41677869755,88.18397628701156,0.1088291847896284,11.70719452819881
4466.626007569647,148.03050959832433,35850.76802690526,76.97566286170017,5.410693043868911,17.613644094430917
1468.7085959004653,95.12188550179673,29715.86723503985,36.79410830082352,41.61479967356455,21.59109202561193
932.5809041304448,410.22080909620206,14407.170824222432,58.46624974786629,13.368677661302874,28.16507259083083
973.540537711059,266.4617374863888,19930.971137298144,77.03206266591249,20.97181048394368,1.9961268501438312
386.7564303434374,445.7349480596763,463.3503294292492,86.49442868746053,9.208048557683115,4.297522754856356
2902.93868725877,42.29988805691587,46321.9389734509,32.481377997594635,34.82469033750389,32.69393166490148
2516.566367568337,207.45728253904488,82125.2319852819,6.772149978726683,33.630735785143,59.59711423613031
1342.7023717964198,361.0717066376115,74184.2729414533,35.17753987762555,15.847040513337731,48.97541960903672
2046.481500316472,114.11791684140896,45092.67845153919,27.2410409950629,55.09128357741432,17.667675427522774
4336.223732383201,276.0395882819104,43847.36298752845,65.96868450646684,20.040471501813546,13.990843991719611
801.7258056359765,370.1046490978342,9875.68591122429,63.56519558797528,16.19299575408591,20.241808657938815
461.2486425921073,209.66000874649868,52907.232284755344,9.983834989013424,79.915293446952,10.100871564034577
3274.855008976276,396.5523355571562,97821.2805015689,68.76841430833234,24.20021300323271,7.031372688434949
298.28765293195846,352.9776629997392,40067.77579250398,0.8312287685255126,61.65730059392051,37.511470637553984
2378.26797243346,238.13982047276863,1164.836436246376,59.710162913660405,21.385080860418597,18.904756225921002
4433.933452449644,329.1575746094396,60634.47011232457,7.541642893712728,7.633264330088202,84.82509277619907
450.3282817695165,273.6003574392185,41694.01831160892,68.65956488659289,13.4308749388348,17.909560174572313
